dataset,data_split,rows,start_time_utc,end_time_utc,target_mean,target_median,series
price,train,356054,2018-11-26T04:40:00+00:00,2018-12-10T02:40:00+00:00,16.531947260808753,13.5,864
price,calibration,108910,2018-12-13T03:25:00+00:00,2018-12-15T23:55:00+00:00,16.57989192911578,13.5,864
price,test,107015,2018-12-16T00:00:00+00:00,2018-12-18T19:15:00+00:00,16.540161192356212,13.5,864
lyft_multiplier,train,172583,2018-11-26T04:40:00+00:00,2018-12-10T02:40:00+00:00,1.0309582925317093,1.0,432
lyft_multiplier,calibration,52665,2018-12-13T03:25:00+00:00,2018-12-15T23:55:00+00:00,1.030563467198329,1.0,432
lyft_multiplier,test,51510,2018-12-16T00:00:00+00:00,2018-12-18T19:15:00+00:00,1.0324063288681808,1.0,432
