dataset,data_split,rows,target_mean,target_median,start_time,end_time,series
price,calibration,108910,16.579891929115785,13.5,2018-12-13 03:25:00+00:00,2018-12-15 23:55:00+00:00,864
price,test,107015,16.540161192356212,13.5,2018-12-16 00:00:00+00:00,2018-12-18 19:15:00+00:00,864
price,train,356054,16.531947260808753,13.5,2018-11-26 04:40:00+00:00,2018-12-10 02:40:00+00:00,864
lyft_multiplier,calibration,52665,1.030563467198329,1.0,2018-12-13 03:25:00+00:00,2018-12-15 23:55:00+00:00,432
lyft_multiplier,test,51510,1.0324063288681808,1.0,2018-12-16 00:00:00+00:00,2018-12-18 19:15:00+00:00,432
lyft_multiplier,train,172583,1.0309582925317093,1.0,2018-11-26 04:40:00+00:00,2018-12-10 02:40:00+00:00,432
